Novel (title),Syllabus (name),,Robinson Crusoe,Moll Flanders
Robinson Crusoe,Wexler,,Robinson Crusoe,Pamela
Moll Flanders,Wexler,,Robinson Crusoe,Tom Jones
Pamela,Wexler,,Robinson Crusoe,Tristram Shandy
Tom Jones,Wexler,,Robinson Crusoe,Pride and Prejudice
Tristram Shandy,Wexler,,Robinson Crusoe,Jacques the Fatalist
Camilla ,Wexler,,Robinson Crusoe,Les Liaisons Dangereuses
Pride and Prejudice,Damrosch & Trujillo,,Robinson Crusoe,The Princesse de Clèves
Robinson Crusoe,Damrosch & Trujillo,,Robinson Crusoe,Clarissa
Jacques the Fatalist,Damrosch & Trujillo,,Robinson Crusoe,Tristram Shandy
Tom Jones,Damrosch & Trujillo,,Robinson Crusoe,Gulliver’s Travels 
Les Liaisons Dangereuses,Damrosch & Trujillo,,Robinson Crusoe,A Description of the New World Called The Blazing World
The Princesse de Clèves,Damrosch & Trujillo,,Robinson Crusoe,Love in Excess
Clarissa,Damrosch & Trujillo,,Robinson Crusoe,Joseph Andrews
Tristram Shandy,Damrosch & Trujillo,,Robinson Crusoe,Pamela
Gulliver’s Travels ,Damrosch & Trujillo,,Robinson Crusoe,Joseph Andrews
Candide,Damrosch & Trujillo,,Robinson Crusoe,Shamela
"Oroonoko, or The Royal Slave",Richter,,Robinson Crusoe,A Simple Story
Love in Excess,Richter,,Moll Flanders,Pamela
Moll Flanders,Richter,,Moll Flanders,Tom Jones
Pamela,Richter,,Moll Flanders,Tristram Shandy
Joseph Andrews,Richter,,Moll Flanders,Camilla 
Tristram Shandy,Richter,,Moll Flanders,"Oroonoko, or The Royal Slave"
Evelina,Richter,,Moll Flanders,Love in Excess
"Things as They Are, or Caleb Williams",Richter,,Moll Flanders,Joseph Andrews
Castle Rackrent,Richter,,Moll Flanders,Tristram Shandy
Waverley or 'Tis Sixty Years Since,Richter,,Moll Flanders,Evelina
Mansfield Park,Richter,,Moll Flanders,"Things as They Are, or Caleb Williams"
Evelina,Shaffer,,Moll Flanders,Castle Rackrent
Moll Flanders,Shaffer,,Moll Flanders,Waverley or 'Tis Sixty Years Since
Tom Jones,Shaffer,,Moll Flanders,Mansfield Park
The Man of Feeling,Shaffer,,Moll Flanders,The Man of Feeling
A Sicilian Romance,Shaffer,,Moll Flanders,A Sicilian Romance
Clarissa,Shaffer,,Moll Flanders,Clarissa
"Maria; or, the Wrongs of a Woman",Shaffer,,Moll Flanders,"Maria; or, the Wrongs of a Woman"
Love in Excess,Stevens,,Pamela,Tom Jones
Roxana,Stevens,,Pamela,Tristram Shandy
Clarissa,Stevens,,Pamela,Camilla 
Tom Jones,Stevens,,Pamela,"Oroonoko, or The Royal Slave"
Tristram Shandy,Stevens,,Pamela,Love in Excess
Evelina,Stevens,,Pamela,Joseph Andrews
The Princesse de Clèves,Warner,,Pamela,Evelina
"Oroonoko, or The Royal Slave",Warner,,Pamela,"Things as They Are, or Caleb Williams"
"Fantomina: or, Love in a Maze",Warner,,Pamela,Castle Rackrent
Pamela,Warner,,Pamela,Waverley or 'Tis Sixty Years Since
Familiar Letters,Warner,,Pamela,Mansfield Park
Shamela,Warner,,Pamela,The Princesse de Clèves
Joseph Andrews,Warner,,Pamela,"Fantomina: or, Love in a Maze"
A Sentimental Journey,Warner,,Pamela,Familiar Letters
Evelina,Warner,,Pamela,Shamela
Eloge de Richardson,Warner,,Pamela,A Sentimental Journey
Northanger Abbey,Warner,,Pamela,Eloge de Richardson
Sense and Sensibility,Warner,,Pamela,Northanger Abbey
Pride and Prejudice,Warner,,Pamela,Sense and Sensibility
Mansfield Park,Warner,,Pamela,Pride and Prejudice
Emma,Warner,,Pamela,Emma
Persuasion,Warner,,Pamela,Persuasion
Roxana,Birns,,Tom Jones,Tristram Shandy
Pamela,Birns,,Tom Jones,Camilla 
The Female Quixote,Birns,,Tom Jones,Pride and Prejudice
Tristram Shandy,Birns,,Tom Jones,Jacques the Fatalist
Gulliver’s Travels ,Birns,,Tom Jones,Les Liaisons Dangereuses
The Castle of Otranto,Birns,,Tom Jones,The Princesse de Clèves
Tom Jones,Birns,,Tom Jones,Clarissa
The Man of Feeling,Birns,,Tom Jones,Gulliver’s Travels 
The Life of Olaudah Equiano,Birns,,Tom Jones,Candide
"Oroonoko, or The Royal Slave",Nestvold,,Tom Jones,The Man of Feeling
Moll Flanders,Nestvold,,Tom Jones,A Sicilian Romance
Tom Jones,Nestvold,,Tom Jones,"Maria; or, the Wrongs of a Woman"
Pamela,Nestvold,,Tom Jones,Roxana
A Description of the New World Called The Blazing World,Morillo,,Tom Jones,The Female Quixote
Robinson Crusoe,Morillo,,Tom Jones,The Castle of Otranto
Love in Excess,Morillo,,Tom Jones,The Life of Olaudah Equiano
Pamela,Morillo,,Tristram Shandy,Camilla 
Joseph Andrews,Morillo,,Tristram Shandy,Pride and Prejudice
Shamela,Morillo,,Tristram Shandy,Jacques the Fatalist
Tristram Shandy,Morillo,,Tristram Shandy,Les Liaisons Dangereuses
A Simple Story,Morillo,,Tristram Shandy,The Princesse de Clèves
"Oroonoko, or The Royal Slave",Porter,,Tristram Shandy,Love in Excess
The Fair Jilt,Porter,,Tristram Shandy,Roxana
Roxana,Porter,,Tristram Shandy,Clarissa
Pamela,Porter,,Tristram Shandy,Evelina
Joseph Andrews,Porter,,Tristram Shandy,Gulliver’s Travels 
A Sentimental Journey,Porter,,Tristram Shandy,Candide
Evelina,Porter,,Tristram Shandy,"Oroonoko, or The Royal Slave"
The Monk,Porter,,Tristram Shandy,"Things as They Are, or Caleb Williams"
,,,Tristram Shandy,Castle Rackrent
,,,Tristram Shandy,Waverley or 'Tis Sixty Years Since
,,,Tristram Shandy,Mansfield Park
,,,Tristram Shandy,The Female Quixote
,,,Tristram Shandy,The Castle of Otranto
,,,Tristram Shandy,The Man of Feeling
,,,Tristram Shandy,The Life of Olaudah Equiano
,,,Camilla,Robinson Crusoe
,,,Pride and Prejudice,Jacques the Fatalist
,,,Pride and Prejudice,Les Liaisons Dangereuses
,,,Pride and Prejudice,The Princesse de Clèves
,,,Pride and Prejudice,Clarissa
,,,Pride and Prejudice,Gulliver’s Travels 
,,,Pride and Prejudice,Candide
,,,Pride and Prejudice,A Sentimental Journey
,,,Pride and Prejudice,Evelina
,,,Pride and Prejudice,Eloge de Richardson
,,,Pride and Prejudice,Northanger Abbey
,,,Pride and Prejudice,Sense and Sensibility
,,,Pride and Prejudice,"Oroonoko, or The Royal Slave"
,,,Pride and Prejudice,"Fantomina: or, Love in a Maze"
,,,Jacques the Fatalist,Les Liaisons Dangereuses
,,,Jacques the Fatalist,The Princesse de Clèves
,,,Jacques the Fatalist,Clarissa
,,,Jacques the Fatalist,Gulliver’s Travels 
,,,Jacques the Fatalist,Candide
,,,Les Liaisons Dangereuses,The Princesse de Clèves
,,,Les Liaisons Dangereuses,Clarissa
,,,Les Liaisons Dangereuses,Gulliver’s Travels 
,,,Les Liaisons Dangereuses,Candide
,,,The Princesse de Clèves,Gulliver’s Travels 
,,,The Princesse de Clèves,Candide
,,,The Princesse de Clèves,Clarissa
,,,The Princesse de Clèves,"Oroonoko, or The Royal Slave"
,,,The Princesse de Clèves,"Fantomina: or, Love in a Maze"
,,,The Princesse de Clèves,Familiar Letters
,,,The Princesse de Clèves,Shamela
,,,The Princesse de Clèves,Joseph Andrews
,,,The Princesse de Clèves,A Sentimental Journey
,,,The Princesse de Clèves,Evelina
,,,The Princesse de Clèves,Eloge de Richardson
,,,The Princesse de Clèves,Northanger Abbey
,,,The Princesse de Clèves,Sense and Sensibility
,,,The Princesse de Clèves,Mansfield Park
,,,The Princesse de Clèves,Emma
,,,The Princesse de Clèves,Persuasion
,,,Clarissa,Gulliver’s Travels 
,,,Clarissa,Candide
,,,Clarissa,"Maria; or, the Wrongs of a Woman"
,,,Clarissa,The Man of Feeling
,,,Clarissa,A Sicilian Romance
,,,Clarissa,Evelina
,,,Gulliver’s Travels ,Persuasion
,,,Gulliver’s Travels ,Roxana
,,,Gulliver’s Travels ,The Female Quixote
,,,Gulliver’s Travels ,The Castle of Otranto
,,,Gulliver’s Travels ,The Man of Feeling
,,,Gulliver’s Travels ,The Life of Olaudah Equiano
,,,Candide,Gulliver’s Travels 
,,,"Oroonoko, or The Royal Slave",Love in Excess
,,,"Oroonoko, or The Royal Slave",Joseph Andrews
,,,"Oroonoko, or The Royal Slave",Evelina
,,,"Oroonoko, or The Royal Slave","Things as They Are, or Caleb Williams"
,,,"Oroonoko, or The Royal Slave",Castle Rackrent
,,,"Oroonoko, or The Royal Slave",Waverley or 'Tis Sixty Years Since
,,,"Oroonoko, or The Royal Slave",Mansfield Park
,,,"Oroonoko, or The Royal Slave","Fantomina: or, Love in a Maze"
,,,"Oroonoko, or The Royal Slave",Familiar Letters
,,,"Oroonoko, or The Royal Slave",Shamela
,,,"Oroonoko, or The Royal Slave",Joseph Andrews
,,,"Oroonoko, or The Royal Slave",A Sentimental Journey
,,,"Oroonoko, or The Royal Slave",Evelina
,,,"Oroonoko, or The Royal Slave",Eloge de Richardson
,,,"Oroonoko, or The Royal Slave",Northanger Abbey
,,,"Oroonoko, or The Royal Slave",Sense and Sensibility
,,,"Oroonoko, or The Royal Slave",Mansfield Park
,,,"Oroonoko, or The Royal Slave",Emma
,,,"Oroonoko, or The Royal Slave",Persuasion
,,,"Oroonoko, or The Royal Slave",The Fair Jilt
,,,"Oroonoko, or The Royal Slave",The Monk
,,,Love in Excess,Joseph Andrews
,,,Love in Excess,Evelina
,,,Love in Excess,"Things as They Are, or Caleb Williams"
,,,Love in Excess,Castle Rackrent
,,,Love in Excess,Waverley or 'Tis Sixty Years Since
,,,Love in Excess,Mansfield Park
,,,Love in Excess,A Description of the New World Called The Blazing World
,,,Love in Excess,Roxana
,,,Love in Excess,Shamela
,,,Love in Excess,A Simple Story
,,,Roxana,Evelina
,,,Roxana,The Fair Jilt
,,,Roxana,A Sentimental Journey
,,,Roxana,The Monk
,,,Roxana,The Female Quixote
,,,Roxana,The Castle of Otranto
,,,Roxana,The Man of Feeling
,,,Roxana,The Life of Olaudah Equiano
,,,Evelina,"Things as They Are, or Caleb Williams"
,,,Evelina,Castle Rackrent
,,,Evelina,Waverley or 'Tis Sixty Years Since
,,,Evelina,Mansfield Park
,,,Evelina,The Man of Feeling
,,,Evelina,A Sicilian Romance
,,,Evelina,"Maria; or, the Wrongs of a Woman"
,,,Evelina,"Fantomina: or, Love in a Maze"
,,,Evelina,Familiar Letters
,,,Evelina,Shamela
,,,Evelina,Joseph Andrews
,,,Evelina,A Sentimental Journey
,,,Evelina,Eloge de Richardson
,,,Evelina,Northanger Abbey
,,,Evelina,Sense and Sensibility
,,,Evelina,Mansfield Park
,,,Evelina,Emma
,,,Evelina,The Fair Jilt
,,,Evelina,The Monk
,,,"Things as They Are, or Caleb Williams",Castle Rackrent
,,,"Things as They Are, or Caleb Williams",Waverley or 'Tis Sixty Years Since
,,,"Things as They Are, or Caleb Williams",Mansfield Park
,,,Castle Rackrent,Waverley or 'Tis Sixty Years Since
,,,Castle Rackrent,Mansfield Park
,,,Waverley or 'Tis Sixty Years Since,Mansfield Park
,,,Mansfield Park,"Fantomina: or, Love in a Maze"
,,,Mansfield Park,Familiar Letters
,,,Mansfield Park,Shamela
,,,Mansfield Park,Joseph Andrews
,,,Mansfield Park,A Sentimental Journey
,,,Mansfield Park,Eloge de Richardson
,,,Mansfield Park,Northanger Abbey
,,,Mansfield Park,Sense and Sensibility
,,,Mansfield Park,Emma
,,,Mansfield Park,Persuasion
,,,The Man of Feeling,The Female Quixote
,,,The Man of Feeling,The Castle of Otranto
,,,The Man of Feeling,The Life of Olaudah Equiano
,,,A Sicilian Romance,The Man of Feeling
,,,"Maria; or, the Wrongs of a Woman",The Man of Feeling
,,,"Fantomina: or, Love in a Maze",Familiar Letters
,,,"Fantomina: or, Love in a Maze",Shamela
,,,"Fantomina: or, Love in a Maze",Joseph Andrews
,,,"Fantomina: or, Love in a Maze",A Sentimental Journey
,,,"Fantomina: or, Love in a Maze",Eloge de Richardson
,,,"Fantomina: or, Love in a Maze",Northanger Abbey
,,,"Fantomina: or, Love in a Maze",Sense and Sensibility
,,,"Fantomina: or, Love in a Maze",Emma
,,,"Fantomina: or, Love in a Maze",Persuasion
,,,Familiar Letters,Shamela
,,,Familiar Letters,Joseph Andrews
,,,Familiar Letters,A Sentimental Journey
,,,Familiar Letters,Eloge de Richardson
,,,Familiar Letters,Northanger Abbey
,,,Familiar Letters,Sense and Sensibility
,,,Familiar Letters,Emma
,,,Familiar Letters,Persuasion
,,,Shamela,Joseph Andrews
,,,Shamela,A Sentimental Journey
,,,Shamela,Eloge de Richardson
,,,Shamela,Northanger Abbey
,,,Shamela,Sense and Sensibility
,,,Shamela,Emma
,,,Shamela,Persuasion
,,,Shamela,A Description of the New World Called The Blazing World
,,,Shamela,A Simple Story
,,,Joseph Andrews,A Sentimental Journey
,,,Joseph Andrews,Eloge de Richardson
,,,Joseph Andrews,Northanger Abbey
,,,Joseph Andrews,Sense and Sensibility
,,,Joseph Andrews,Emma
,,,Joseph Andrews,Persuasion
,,,Joseph Andrews,A Description of the New World Called The Blazing World
,,,Joseph Andrews,A Simple Story
,,,Joseph Andrews,The Fair Jilt
,,,Joseph Andrews,The Monk
,,,A Sentimental Journey,Eloge de Richardson
,,,A Sentimental Journey,Northanger Abbey
,,,A Sentimental Journey,Sense and Sensibility
,,,A Sentimental Journey,Emma
,,,A Sentimental Journey,Persuasion
,,,A Sentimental Journey,A Simple Story
,,,A Sentimental Journey,The Fair Jilt
,,,A Sentimental Journey,The Monk
,,,Eloge de Richardson,Northanger Abbey
,,,Eloge de Richardson,Sense and Sensibility
,,,Eloge de Richardson,Emma
,,,Eloge de Richardson,Persuasion
,,,Northanger Abbey,Sense and Sensibility
,,,Northanger Abbey,Emma
,,,Northanger Abbey,Persuasion
,,,Sense and Sensibility,Emma
,,,Emma,Persuasion
,,,Persuasion,Sense and Sensibility
,,,The Female Quixote,The Castle of Otranto
,,,The Female Quixote,The Life of Olaudah Equiano
,,,The Castle of Otranto,The Life of Olaudah Equiano
,,,A Description of the New World Called The Blazing World,A Simple Story
,,,The Fair Jilt,The Monk
,,,The Fair Jilt,Pamela
,,,The Monk,Pamela